date,loan.total,loan.kospi,loan.kosdaq,lend.total,lend.kospi,lend.kosdaq,lottery,equity.backed.loan
2020-08-14,15900133,7674329,8225803,1102,865,238,0,17792117
2020-08-13,15794045,7602319,8191726,1102,865,238,0,17798775
2020-08-12,15628748,7504874,8123874,1102,865,238,0,17805650
2020-08-11,15380515,7339907,8040608,1102,865,238,0,17796123
2020-08-10,15172725,7211608,7961116,1127,865,262,0,17756912
2020-08-07,15053761,7160223,7893537,1130,868,262,0,17770568
2020-08-06,14814683,7010331,7804352,1130,868,262,0,17917145
2020-08-05,14667003,6917019,7749984,1130,868,262,0,17693016
2020-08-04,14544653,6841859,7702794,1130,868,262,0,17687392
2020-08-03,14420830,6789876,7630955,1130,868,262,0,17591192
2020-07-31,14325916,6771467,7554449,1135,873,262,0,17682223
2020-07-30,14211958,6735070,7476889,1140,873,267,0,17787908
2020-07-29,14057681,6697553,7360128,1141,873,268,0,17733143
2020-07-28,13953742,6685312,7268430,1141,873,268,0,17832688
2020-07-27,14030241,6726623,7303618,1141,873,268,0,17771105
2020-07-24,14049616,6742179,7307437,1141,873,268,0,17740596
2020-07-23,13862346,6656111,7206235,1141,873,268,0,17831921
2020-07-22,13767873,6595837,7172036,1141,873,268,0,17849873
2020-07-21,13669002,6529115,7139887,1143,875,268,0,17459457
2020-07-20,13568102,6470721,7097380,1143,875,268,0,17458507
2020-07-17,13535803,6454866,7080937,1148,875,273,0,17441858
2020-07-16,13516970,6454911,7062059,1148,875,273,0,17493437
2020-07-15,13416155,6400605,7015551,1148,875,273,0,17519236
2020-07-14,13299590,6375530,6924060,1148,875,273,0,17338387
2020-07-13,13201365,6316662,6884703,1148,875,273,0,17234594
2020-07-10,13092258,6244345,6847913,1148,875,273,0,17275509
2020-07-09,12982025,6181832,6800194,1148,875,273,0,17242843
2020-07-08,12857427,6145781,6711647,1148,875,273,0,17152104
2020-07-07,12703556,6073997,6629559,1148,875,273,0,17109544
2020-07-06,12622960,6055296,6567663,1148,875,273,0,17080775
2020-07-03,12637552,6075167,6562385,1148,875,273,0,17098542
2020-07-02,12670466,6101548,6568918,1148,875,273,0,17203150
2020-07-01,12647151,6085328,6561823,1148,875,273,0,17288250
2020-06-30,12660430,6076065,6584365,1148,875,273,0,17216067
2020-06-29,12662372,6108030,6554343,1148,875,273,0,17097862
2020-06-26,12545180,6022139,6523041,1148,875,273,0,17118870
2020-06-25,12435670,5973351,6462319,1148,875,273,0,18407619
2020-06-24,12329436,5907243,6422194,1149,876,274,0,18353591
2020-06-23,12198340,5839087,6359253,1155,876,279,0,16792919
2020-06-22,12096181,5792974,6303207,1158,876,283,0,16580403
2020-06-19,11966742,5728395,6238347,1158,876,283,0,16523758
2020-06-18,11770096,5609864,6160232,1158,876,283,0,16567722
2020-06-17,11838634,5621144,6217490,1159,876,283,0,16754248
2020-06-16,12026250,5665639,6360611,1159,876,283,0,16814471
2020-06-15,12059783,5629068,6430715,1159,876,283,0,16793203
2020-06-12,11862769,5488142,6374628,1161,877,284,0,16574497
2020-06-11,11790940,5462319,6328622,1162,878,284,0,16407470
2020-06-10,11647126,5359046,6288080,1162,878,284,0,16338079
2020-06-09,11510879,5274149,6236731,1164,879,284,0,16233492
2020-06-08,11377741,5214633,6163109,1164,880,284,0,16198708
2020-06-05,11316308,5204555,6111754,1165,880,284,0,16257388
2020-06-04,11203225,5195804,6007421,1165,881,285,0,16145259
2020-06-03,11046726,5143636,5903090,1165,881,285,0,16051658
2020-06-02,10938529,5132557,5805973,1166,881,285,0,16119428
2020-06-01,10931475,5097836,5833640,1186,881,305,0,16145057
2020-05-29,10927629,5098097,5829532,1186,881,305,0,16084758
2020-05-28,10807273,5049512,5757761,1188,881,307,0,16044846
2020-05-27,10666167,5006717,5659450,1188,881,307,0,15970370
