date,loan.total,loan.kospi,loan.kosdaq,lend.total,lend.kospi,lend.kosdaq,lottery,equity.backed.loan
2020-05-26,10586867,4988712,5598155,1189,882,307,0,15961408
2020-05-25,10464548,4938915,5525633,1191,882,309,0,15899727
2020-05-22,10306919,4876718,5430201,1193,884,309,0,15847063
2020-05-21,10224752,4856053,5368699,1193,884,309,0,15878093
2020-05-20,10211538,4907866,5303672,1512,1023,488,0,15899060
2020-05-19,10141020,4885114,5255906,1929,1271,658,0,15922132
2020-05-18,10078261,4844962,5233299,2134,1420,714,0,15850918
2020-05-15,9953379,4778023,5175356,2229,1450,779,0,15810808
2020-05-14,9866508,4741597,5124911,2284,1492,792,0,15760825
2020-05-13,9718147,4662897,5055251,2481,1656,825,0,15641217
2020-05-12,9554894,4601329,4953565,2894,1896,999,0,15500584
2020-05-11,9495912,4600257,4895655,2982,1951,1031,0,15461752
2020-05-08,9401611,4563522,4838089,3031,1952,1079,0,15444616
2020-05-07,9293246,4530159,4763087,3230,1999,1231,0,15516356
2020-05-06,9148258,4401936,4746322,3451,2070,1381,0,15562635
2020-05-04,9138226,4433182,4705044,3654,2179,1476,0,15535009
2020-04-29,9043411,4404068,4639343,3920,2389,1531,0,15496771
2020-04-28,8981254,4392990,4588264,3963,2420,1543,0,15577120
2020-04-27,8896308,4355786,4540522,4085,2447,1638,0,15533884
2020-04-24,8798606,4332268,4466338,4141,2478,1663,0,15517989
2020-04-23,8658274,4253828,4404446,4297,2581,1717,0,15554415
2020-04-22,8522089,4179004,4343086,4320,2590,1730,0,15531353
2020-04-21,8367401,4127843,4239559,4501,2662,1839,0,15473188
2020-04-20,8254649,4071625,4183024,4573,2718,1855,0,15406867
2020-04-17,8107056,3972464,4134592,4683,2790,1893,0,15396705
2020-04-16,8079877,3955720,4124157,4729,2815,1913,0,15455156
2020-04-14,7997588,3898863,4098724,4786,2829,1957,0,15425213
2020-04-13,7880698,3829387,4051311,4843,2881,1962,0,15384441
2020-04-10,7705349,3733604,3971745,4875,2888,1987,0,15401054
2020-04-09,7527286,3639332,3887954,4911,2915,1996,0,15393954
2020-04-08,7359432,3623878,3735554,5019,3005,2014,0,15350674
2020-04-07,7260190,3583672,3676517,5130,3049,2081,0,15356194
2020-04-06,7155893,3558211,3597681,5223,3124,2099,0,15376347
2020-04-03,7032108,3498367,3533741,5245,3141,2104,0,15430382
2020-04-02,6878091,3394622,3483469,5308,3158,2151,0,15422722
2020-04-01,6688864,3267548,3421316,5515,3273,2242,0,15420231
2020-03-31,6578263,3177419,3400844,5760,3437,2323,0,15406579
2020-03-30,6525697,3162910,3362787,5872,3475,2397,0,15370627
2020-03-27,6440447,3075317,3365130,5937,3510,2427,0,15311379
2020-03-26,6436078,3087901,3348177,6318,3643,2675,0,15326477
2020-03-25,6407513,3094150,3313363,6582,3810,2772,0,15384462
2020-03-24,6447040,3109784,3337256,7122,4093,3030,0,15297205
2020-03-23,6767275,3261445,3505831,7626,4475,3151,0,15662857
2020-03-20,7524496,3611615,3912881,8917,5142,3775,0,16244888
2020-03-19,7828321,3765934,4062386,10103,6067,4036,0,16628441
2020-03-18,8141754,3861952,4279802,11253,6651,4602,0,16961719
2020-03-17,8542175,4004707,4537468,13218,7827,5391,0,17126403
2020-03-16,9419006,4335190,5083816,15176,8565,6611,0,17331041
2020-03-13,9862825,4515814,5347011,16649,9602,7047,0,17937364
2020-03-12,10026043,4562258,5463785,18724,10662,8061,0,17966311
2020-03-11,10134516,4551238,5583278,18822,10421,8401,0,18019009
2020-03-10,10187397,4564823,5622574,22565,13284,9281,0,17960284
2020-03-09,10106442,4535825,5570617,24062,14754,9308,0,17854897
2020-03-06,10024660,4520719,5503941,22057,13450,8607,0,17856977
2020-03-05,9996896,4503827,5493070,20321,12257,8064,0,17888270
2020-03-04,9941075,4490105,5450970,19897,11935,7962,0,17887346
2020-03-03,10010245,4476958,5533288,17856,10857,6999,0,18030604
2020-03-02,10278525,4577856,5700670,18909,11332,7577,0,18120847
2020-02-28,10372604,4638838,5733766,20456,12290,8166,0,18097360
2020-02-27,10296179,4584084,5712095,22099,13824,8274,0,17999399
2020-02-26,10350972,4558505,5792466,22947,15179,7767,0,18101295
2020-02-25,10486371,4596876,5889495,26210,16990,9219,0,18123417
2020-02-24,10543567,4628986,5914581,27877,17511,10365,0,18083593
2020-02-21,10516321,4630141,5886180,28430,18321,10109,0,17999785
2020-02-20,10514123,4646824,5867299,28365,18138,10227,0,17996810
2020-02-19,10462694,4609629,5853064,29711,19024,10687,0,17879138
2020-02-18,10405212,4573679,5831533,29836,19521,10315,0,17871495
2020-02-17,10351033,4572985,5778049,28968,18647,10321,0,17815678
2020-02-14,10294979,4568265,5726714,28309,18762,9547,0,17773009
2020-02-13,10231273,4557718,5673554,27721,17826,9895,0,17767193
2020-02-12,10182059,4553515,5628544,27164,17751,9414,0,17799632
2020-02-11,10085083,4505514,5579569,28707,19046,9661,0,17775087
2020-02-10,9941121,4433371,5507750,29691,19730,9961,0,17700603
2020-02-07,9941547,4476895,5464652,27669,18140,9530,0,17704063
2020-02-06,9853155,4427494,5425662,25751,16874,8877,0,17673062
2020-02-05,9818154,4407226,5410928,24115,15311,8804,0,17681316
2020-02-04,9914933,4420757,5494175,24251,15584,8668,0,17771104
2020-02-03,10038047,4456013,5582034,24412,15288,9123,0,17811552
2020-01-31,10080631,4478932,5601700,26211,16868,9342,0,17739394
2020-01-30,10106988,4491672,5615316,25924,16208,9715,0,17740949
2020-01-29,10092624,4453538,5639085,27632,17890,9741,0,17618750
2020-01-28,10019726,4414481,5605245,28239,18316,9923,0,17595282
2020-01-23,9999563,4398996,5600568,27121,17702,9419,0,17591052
2020-01-22,9950474,4394250,5556224,28328,18425,9903,0,17541850
2020-01-21,9892463,4390841,5501622,28578,18413,10164,0,17514375
2020-01-20,9879240,4379350,5499890,27945,18135,9810,0,17492539
2020-01-17,9773968,4317402,5456566,27714,17990,9724,0,17457957
2020-01-16,9695465,4277367,5418098,27259,17816,9443,0,17432645
2020-01-15,9644538,4262453,5382085,27328,18161,9168,0,17415164
2020-01-14,9543165,4228913,5314252,27031,17740,9291,0,17394323
2020-01-13,9459644,4194931,5264712,25932,17164,8768,0,17356949
2020-01-10,9493450,4201428,5292021,24263,15904,8360,0,17424289
2020-01-09,9532312,4202096,5330216,25053,16424,8629,0,17356740
2020-01-08,9531604,4211678,5319927,23344,15388,7956,0,17402757
2020-01-07,9479197,4191505,5287692,23441,15303,8138,0,17330236
2020-01-06,9376932,4162646,5214286,23951,15717,8234,0,17292078
2020-01-03,9231595,4080601,5150994,23862,15954,7908,0,17218834
2020-01-02,9207175,4061820,5145354,23321,15790,7531,0,17232050
2019-12-31,9213276,4052361,5160915,23722,16482,7241,0,17307819
2019-12-30,9218105,4054522,5163582,23722,16482,7241,0,17241508
2019-12-27,9233752,4040789,5192963,22895,15734,7161,0,17352556
2019-12-26,9269390,4045785,5223604,24788,17506,7282,0,17385431
2019-12-24,9288611,4060742,5227869,25318,17965,7353,0,17326716
2019-12-23,9304967,4085645,5219322,25421,17914,7507,0,17401612
2019-12-20,9297119,4103733,5193386,25352,17854,7498,0,17389003
2019-12-19,9241484,4080345,5161139,24854,17702,7153,0,17361522
2019-12-18,9220299,4070838,5149461,24213,17585,6629,0,17424261
2019-12-17,9188995,4069163,5119833,24648,17872,6777,0,17419446
2019-12-16,9204628,4093147,5111481,23915,17538,6377,0,17433516
2019-12-13,9239557,4135569,5103988,22216,15841,6375,0,17466137
2019-12-12,9219118,4116813,5102304,22027,15609,6418,0,17499838
2019-12-11,9219240,4126897,5092343,21743,15163,6579,0,17569261
2019-12-10,9192732,4119981,5072752,21989,15586,6403,0,17404673
2019-12-09,9265999,4152353,5113646,19428,13659,5769,0,17433255
2019-12-06,9342633,4177890,5164744,20076,13944,6132,0,17478714
2019-12-05,9347183,4163309,5183874,20734,14559,6176,0,17506484
2019-12-04,9357303,4175384,5181919,21569,15467,6102,0,17525178
2019-12-03,9409198,4188339,5220859,20936,14764,6172,0,17583366
2019-12-02,9406400,4162279,5244121,22490,16360,6130,0,17638262
2019-11-29,9415811,4153904,5261907,21851,16030,5821,0,17641733
2019-11-28,9372229,4142343,5229886,21348,14989,6359,0,17631505
2019-11-27,9323554,4105176,5218378,21834,15488,6345,0,17600974
2019-11-26,9365651,4128072,5237580,20673,14669,6003,0,17576328
2019-11-25,9442350,4163948,5278401,20677,14679,5998,0,17618825
2019-11-22,9516341,4181524,5334817,22316,15719,6597,0,17615520
2019-11-21,9529267,4176215,5353052,22977,16198,6779,0,18014199
2019-11-20,9514533,4177320,5337213,23371,16448,6924,0,17988521
2019-11-19,9460855,4148798,5312057,23194,16565,6628,0,17542713
2019-11-18,9493619,4188843,5304777,22773,16089,6684,0,17583642
2019-11-15,9501520,4195864,5305656,22475,15531,6944,0,17615682
2019-11-14,9439948,4166038,5273909,22541,15655,6887,0,17560648
2019-11-13,9415204,4153035,5262168,22256,15704,6552,0,17602080
2019-11-12,9359712,4110386,5249326,22889,16121,6768,0,17645995
2019-11-11,9335383,4105232,5230151,23703,16789,6914,0,17554444
2019-11-08,9262262,4072080,5190182,23788,16686,7103,0,17625929
2019-11-07,9207486,4055996,5151490,23634,16730,6904,0,17569665
2019-11-06,9166723,4056690,5110033,23623,16445,7178,0,17545873
2019-11-05,9130253,4070574,5059679,23436,16138,7298,0,17570747
2019-11-04,9106562,4055022,5051540,22908,15792,7116,0,17576068
2019-11-01,9088107,4037535,5050573,22898,15779,7119,0,17695599
2019-10-31,9042509,4017381,5025128,23830,16253,7577,0,17699162
2019-10-30,9001505,4005076,4996429,23704,15997,7708,0,17671856
2019-10-29,9032858,4014682,5018176,22831,15241,7591,0,17642635
2019-10-28,9017607,4029438,4988169,23196,15451,7744,0,17555651
2019-10-25,9020048,4052862,4967186,23034,15128,7906,0,17566712
2019-10-24,8978307,4006546,4971761,24228,16045,8183,0,17497428
2019-10-23,8990248,4031643,4958604,23757,15558,8199,0,17547250
2019-10-22,8948999,4021429,4927570,23586,15159,8427,0,17544365
2019-10-21,8902811,4008826,4893985,24786,15954,8832,0,17483558
2019-10-18,8856031,3997255,4858777,24882,16446,8436,0,17458235
2019-10-17,8840561,3995624,4844936,23607,15358,8249,0,17478466
2019-10-16,8788438,3963905,4824533,24014,15874,8140,0,17499546
2019-10-15,8775707,3959240,4816467,22911,14888,8023,0,17509028
2019-10-14,8777677,3977741,4799936,23336,14834,8502,0,17869471
2019-10-11,8696836,3940348,4756488,24726,15949,8777,0,17828729
2019-10-10,8734941,3971637,4763304,23373,14887,8486,0,17625339
2019-10-08,8807064,4014698,4792366,23882,14862,9021,0,17605552
2019-10-07,8818667,4019936,4798731,24400,15071,9330,0,17509841
2019-10-04,8761980,3963476,4798503,25489,16342,9147,0,17514659
2019-10-02,8790081,3988276,4801805,24836,16091,8746,0,17626184
2019-10-01,8811165,4006064,4805101,25700,16433,9267,0,17417342
2019-09-30,8800162,3990492,4809670,25948,16556,9392,0,17419438
2019-09-27,8897889,4010688,4887202,26012,17003,9009,0,17473229
2019-09-26,8928174,4011505,4916669,27179,17234,9945,0,17547213
2019-09-25,8933022,4022167,4910854,26703,17118,9586,0,17531362
2019-09-24,8897850,4008791,4889059,27383,17437,9946,0,17442344
2019-09-23,8893348,4018734,4874614,26889,17527,9362,0,17467732
2019-09-20,8844500,3976314,4868185,26450,17294,9157,0,17464313
2019-09-19,8769853,3946095,4823757,25787,17076,8711,0,17449580
2019-09-18,8672650,3909432,4763219,25417,16777,8640,0,17481481
2019-09-17,8622005,3882522,4739483,27165,18726,8439,0,17443224
2019-09-16,8635583,3900274,4735309,26938,18620,8318,0,17481951
2019-09-11,8647851,3925793,4722058,26570,18425,8146,0,17477612
2019-09-10,8628248,3931210,4697039,27568,19070,8498,0,17487430
2019-09-09,8580318,3922583,4657735,27959,19659,8300,0,17488577
2019-09-06,8517052,3921634,4595418,26902,18538,8364,0,17503679
2019-09-05,8475479,3913396,4562084,25890,17768,8122,0,17525039
2019-09-04,8416318,3897903,4518415,26388,17606,8782,0,17460890
2019-09-03,8369900,3877621,4492279,26012,17607,8406,0,17511701
2019-09-02,8419905,3926877,4493028,23680,15717,7963,0,17595442
2019-08-30,8386204,3917172,4469032,24069,15850,8219,0,17531504
2019-08-29,8395412,3921212,4474200,23440,15173,8267,0,17454003
2019-08-28,8419192,3919110,4500082,22531,14767,7763,0,17496180
2019-08-27,8450707,3950438,4500269,24397,15660,8737,0,17478062
2019-08-26,8464107,3965727,4498380,24295,15658,8637,0,17516540
2019-08-23,8382159,3937111,4445048,25413,16846,8567,0,17489187
2019-08-22,8316775,3904483,4412292,25030,16686,8344,0,17473653
2019-08-21,8297276,3902050,4395226,23984,15639,8345,0,17483383
2019-08-20,8306839,3911120,4395719,24007,15409,8598,0,17494265
2019-08-19,8291745,3903204,4388540,24339,15735,8604,0,17511171
2019-08-16,8244789,3886762,4358027,23785,15604,8181,0,17524126
2019-08-14,8183078,3863059,4320019,23185,15351,7834,0,17558636
2019-08-13,8100533,3818906,4281627,22327,14677,7650,0,17548720
2019-08-12,8030941,3794451,4236490,20200,13313,6887,0,17511011
2019-08-09,8012969,3775022,4237947,18842,12490,6352,0,17574499
2019-08-08,8182084,3815489,4366595,17350,12107,5244,0,17799963
2019-08-07,8710453,4012046,4698407,19312,13205,6107,0,18170187
2019-08-06,9016402,4171844,4844558,23442,16182,7260,0,18385615
2019-08-05,9154754,4208565,4946189,23287,15754,7534,0,18536060
2019-08-02,9242534,4257176,4985358,22938,15223,7715,0,18560782
2019-08-01,9288614,4282736,5005878,22033,15158,6875,0,18635225
2019-07-31,9478770,4355804,5122966,21383,15096,6287,0,18759875
2019-07-30,9675175,4434918,5240258,23267,15778,7489,0,18788226
2019-07-29,9800245,4484791,5315454,23999,16113,7887,0,18806497
2019-07-26,9929168,4534931,5394237,23755,16134,7620,0,18797023
2019-07-25,10009021,4561859,5447161,24122,16411,7711,0,18832685
2019-07-24,10010990,4580190,5430799,24036,16137,7899,0,18735755
2019-07-23,9973524,4558872,5414652,23424,15516,7909,0,18672977
2019-07-22,10002609,4595517,5407092,23135,15338,7797,0,18733882
2019-07-19,10013610,4595892,5417717,22954,15885,7069,0,18759445
2019-07-18,10011677,4600396,5411281,24250,16388,7863,0,18780898
2019-07-17,9994453,4596310,5398143,25502,17174,8328,0,18833240
2019-07-16,9956900,4590256,5366644,24688,16252,8436,0,18788280
2019-07-15,9907626,4577611,5330014,18715,11925,6790,0,18756966
2019-07-12,9895327,4581738,5313589,17407,10952,6455,0,18743212
2019-07-11,9922814,4591919,5330896,16969,10620,6349,0,18841415
2019-07-10,10104223,4662353,5441870,17162,10687,6475,0,18962947
2019-07-09,10175629,4684010,5491619,19044,12034,7010,0,18937519
2019-07-08,10196553,4702165,5494388,19315,12029,7286,0,18926650
2019-07-05,10218816,4716213,5502603,18400,11255,7145,0,18930350
2019-07-04,10177149,4698718,5478432,19253,12101,7152,0,18902542
2019-07-03,10155636,4693039,5462598,18712,11999,6713,0,18899664
2019-07-02,10229631,4701294,5528337,18620,11530,7090,0,18946443
2019-07-01,10363157,4746018,5617139,18948,11757,7191,0,19001094
2019-06-28,10470084,4797569,5672515,18490,11351,7139,0,18977754
2019-06-27,10509358,4817620,5691738,18019,11198,6821,0,18980072
2019-06-26,10507230,4821181,5686050,19052,11592,7459,0,18934611
2019-06-25,10500369,4828799,5671571,18782,11217,7565,0,18914785
2019-06-24,10451477,4796069,5655409,20001,12202,7798,0,18811432
2019-06-21,10446261,4805613,5640647,19582,12530,7053,0,18992102
2019-06-20,10499060,4854850,5644211,19621,12112,7509,0,18998676
2019-06-19,10509245,4869916,5639329,19489,12033,7456,0,18841460
2019-06-18,10502406,4866411,5635995,19266,11780,7485,0,18821069
2019-06-17,10435142,4849537,5585605,21196,12907,8289,0,18807295
2019-06-14,10373026,4809582,5563445,21415,13401,8014,0,18809784
2019-06-13,10299978,4784919,5515059,21803,13289,8513,0,18783583
2019-06-12,10262589,4786561,5476028,20864,12647,8217,0,18783070
2019-06-11,10227782,4807049,5420733,20058,12065,7993,0,18782104
2019-06-10,10194359,4793793,5400566,19460,11960,7500,0,18766940
2019-06-07,10163454,4780521,5382934,18344,11280,7063,0,18720097
2019-06-05,10150952,4777056,5373897,18446,11603,6843,0,18837618
2019-06-04,10163620,4798182,5365438,17724,11056,6668,0,18859086
2019-06-03,10197269,4809183,5388086,16534,10253,6280,0,18735102
2019-05-31,10252568,4830467,5422101,16802,10631,6171,0,18756484
2019-05-30,10237966,4822638,5415328,17871,11730,6142,0,18774398
2019-05-29,10211139,4794940,5416199,15994,10365,5629,0,18788279
2019-05-28,10237544,4773234,5464310,16190,10370,5820,0,18757733
2019-05-27,10302833,4794506,5508327,16547,10469,6078,0,18768640
2019-05-24,10337829,4812788,5525042,17062,10716,6346,0,18765782
2019-05-23,10327289,4806806,5520484,16619,10366,6254,0,18717106
2019-05-22,10355910,4817698,5538212,16133,10351,5782,0,18727283
2019-05-21,10402366,4834991,5567376,16204,10964,5240,0,18757442
2019-05-20,10414085,4831663,5582423,16668,11346,5322,0,18754102
2019-05-17,10350206,4798950,5551256,17726,12041,5685,0,18703103
2019-05-16,10319329,4795439,5523890,17443,12237,5206,0,18725102
2019-05-15,10401084,4823605,5577479,16569,11230,5339,0,18810443
2019-05-14,10432674,4839318,5593355,17508,11877,5631,0,18836452
2019-05-13,10562454,4879696,5682758,17949,12145,5804,0,18848550
2019-05-10,10632620,4859404,5773216,21039,14889,6149,0,18770843
2019-05-09,10681676,4875487,5806189,20936,14691,6245,0,18761410
2019-05-08,10718047,4877447,5840600,22243,14993,7250,0,18713657
2019-05-07,10666719,4828809,5837910,22879,15625,7254,0,18679306
2019-05-03,10647470,4831290,5816179,22923,15638,7285,0,18674948
2019-05-02,10649973,4830708,5819265,22823,15700,7123,0,18657426
2019-04-30,10682613,4855889,5826724,21898,15090,6808,0,18694965
2019-04-29,10751403,4873025,5878379,22774,15365,7409,0,18804951
2019-04-26,10780516,4894437,5886080,23102,15108,7994,0,18791177
2019-04-25,10715109,4841824,5873285,23380,15365,8015,0,18732349
2019-04-24,10678980,4832229,5846751,23600,15420,8180,0,18640983
2019-04-23,10621734,4800196,5821538,23339,15303,8036,0,18542892
2019-04-22,10625746,4795635,5830112,23543,15505,8038,0,18604589
2019-04-19,10613281,4785984,5827297,25134,16591,8543,0,18553001
2019-04-18,10590483,4784569,5805914,24874,16483,8391,0,18556051
2019-04-17,10568269,4783615,5784654,25359,16495,8864,0,18523602
2019-04-16,10504987,4746255,5758733,26709,17698,9010,0,18484659
2019-04-15,10466597,4735037,5731560,26965,17781,9184,0,18484749
2019-04-12,10441240,4729050,5712190,26656,17476,9179,0,18462801
2019-04-11,10393545,4720663,5672882,25930,16774,9155,0,18481634
2019-04-10,10356905,4721970,5634935,26037,16980,9057,0,18482751
2019-04-09,10335838,4714118,5621719,25006,15565,9441,0,18399522
2019-04-08,10274512,4702459,5572054,24908,15427,9481,0,18384793
2019-04-05,10250846,4714720,5536126,24488,15226,9262,0,18343623
2019-04-04,10226907,4719595,5507312,23958,14991,8967,0,18398224
2019-04-03,10199105,4725030,5474075,23188,14014,9174,0,18403086
2019-04-02,10238126,4786017,5452109,22009,13223,8786,0,18447342
2019-04-01,10319065,4826848,5492217,21346,11983,9363,0,18534468
2019-03-29,10394712,4862281,5532431,21339,12169,9170,0,18540062
2019-03-28,10384631,4867341,5517290,21539,12168,9371,0,18528493
2019-03-27,10401833,4868233,5533601,20573,11637,8937,0,18558046
2019-03-26,10439214,4876924,5562290,22509,12819,9690,0,18548604
2019-03-25,10479607,4894786,5584822,22316,12952,9364,0,18499014
2019-03-22,10493977,4927330,5566647,22856,12975,9881,0,18472262
2019-03-21,10467812,4919721,5548091,22451,13357,9094,0,18709711
2019-03-20,10426243,4910496,5515747,23200,13671,9529,0,18713012
2019-03-19,10433290,4922828,5510462,22410,13197,9214,0,18429448
2019-03-18,10481397,5008935,5472461,23549,12926,10623,0,18419559
2019-03-15,10428192,4982638,5445554,23202,12893,10308,0,18412276
2019-03-14,10377974,4977619,5400355,23345,12911,10434,0,18461444
2019-03-13,10386812,4997362,5389451,22225,12392,9833,0,18456900
2019-03-12,10368358,5000325,5368032,22645,12724,9920,0,18369526
2019-03-11,10373317,4976619,5396698,23018,13385,9633,0,18402070
2019-03-08,10372930,4977421,5395509,24340,14251,10089,0,18396522
2019-03-07,10312952,4959025,5353927,24077,14406,9671,0,18329557
2019-03-06,10248151,4921641,5326511,23596,14110,9486,0,18493734
2019-03-05,10353358,4939988,5413370,22185,14095,8090,0,18570411
2019-03-04,10507953,5038866,5469087,29579,18231,11348,0,18414511
2019-02-28,10495466,5055904,5439562,28858,17855,11003,0,18411401
2019-02-27,10471354,5060771,5410584,28134,17351,10784,0,18421013
2019-02-26,10459698,5047484,5412215,29043,17939,11104,0,18339018
2019-02-25,10446526,5056102,5390424,29006,17628,11379,0,18509043
2019-02-22,10413002,5039774,5373227,29405,18305,11101,0,18442987
2019-02-21,10395912,5052295,5343618,29078,17838,11240,0,18246627
2019-02-20,10370978,5052992,5317985,28846,17812,11034,0,18218563
2019-02-19,10382106,5077352,5304754,28363,17394,10968,0,18188406
2019-02-18,10300975,5037381,5263595,29398,18176,11222,0,18168238
2019-02-15,10249827,5028759,5221068,28894,17975,10919,0,18170213
2019-02-14,10229396,5029134,5200262,27955,17380,10576,0,18167644
2019-02-13,10187298,5021681,5165616,28054,17485,10569,0,18242634
2019-02-12,10102031,4977791,5124240,28308,17744,10564,0,18198766
2019-02-11,9994249,4920916,5073333,29811,19586,10225,0,18100142
2019-02-08,9971963,4890795,5081168,29315,19393,9923,0,18103488
2019-02-07,9986958,4897966,5088992,28971,19341,9630,0,18058539
2019-02-01,9932411,4869131,5063280,28361,19291,9070,0,18047433
2019-01-31,9926859,4873375,5053484,27229,18069,9160,0,18065708
2019-01-30,9868170,4839729,5028441,29270,19643,9627,0,18185494
2019-01-29,9785253,4785212,5000041,28690,19219,9471,0,18139603
2019-01-28,9853900,4851902,5001999,26353,17099,9253,0,17975476
2019-01-25,9818135,4838221,4979914,25740,16304,9436,0,17937802
2019-01-24,9805258,4850931,4954327,25280,16022,9258,0,17859604
2019-01-23,9763655,4835375,4928281,25563,16194,9369,0,17875797
2019-01-22,9676579,4808583,4867996,25133,16040,9093,0,17831111
2019-01-21,9656448,4799205,4857243,24348,16118,8230,0,17833569
2019-01-18,9594719,4776095,4818624,24392,15888,8505,0,17836132
2019-01-17,9529113,4751691,4777422,23751,15349,8401,0,17813265
2019-01-16,9520685,4769841,4750844,23734,15353,8381,0,17779662
2019-01-15,9463145,4740012,4723133,24093,15789,8304,0,17753590
2019-01-14,9476579,4770180,4706399,23230,15148,8082,0,17737342
2019-01-11,9435441,4751100,4684341,22949,14985,7964,0,17764262
2019-01-10,9442340,4777281,4665059,20378,12816,7563,0,17814999
2019-01-09,9404679,4760340,4644339,20267,12586,7681,0,17731479
2019-01-08,9393464,4784175,4609289,18881,11808,7073,0,17738539
2019-01-07,9388335,4785337,4602998,18347,11771,6576,0,17729530
2019-01-04,9423103,4822346,4600757,17256,10915,6342,0,17725633
2019-01-03,9354756,4786784,4567971,18195,11819,6376,0,17633953
2019-01-02,9355478,4806579,4548899,17300,10967,6332,0,17695158
2018-12-31,9407585,4844817,4562768,16073,10263,5810,0,17861297
2018-12-28,9412173,4847280,4564894,16073,10263,5810,0,17833291
2018-12-27,9453651,4860254,4593397,18592,11920,6672,0,17906165
2018-12-26,9458057,4848134,4609924,18844,12183,6661,0,17974719
2018-12-24,9473035,4853594,4619440,18570,12571,5999,0,17975359
2018-12-21,9485382,4856811,4628571,18356,12365,5990,0,17964842
2018-12-20,9488830,4858237,4630593,18584,12729,5855,0,17995504
2018-12-19,9543984,4883057,4660926,19221,13466,5755,0,17942180
2018-12-18,9604634,4914525,4690109,20149,13925,6224,0,18014338
