매수일,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2010-01-07,0.4098360655737705,0.819672131147541,3.278688524590164,15.573770491803279,20.491803278688526,18.852459016393443,3.6885245901639343,4.098360655737705,-3.6885245901639343,3.278688524590164
2010-01-08,1.2345679012345678,3.7037037037037037,16.049382716049383,20.987654320987655,19.34156378600823,4.11522633744856,4.526748971193416,-3.292181069958848,3.7037037037037037,-1.646090534979424
2010-01-11,0.8,12.8,17.6,16.0,1.2,1.6,-6.0,0.8,-4.4,-4.0
2010-01-12,8.045977011494253,12.64367816091954,11.11111111111111,-3.0651340996168583,-2.681992337164751,-9.96168582375479,-3.4482758620689653,-8.42911877394636,-8.045977011494253,-6.896551724137931
2010-03-12,0.7380073800738007,3.321033210332103,-1.4760147601476015,-1.4760147601476015,2.2140221402214024,1.845018450184502,1.845018450184502,-0.7380073800738007,2.2140221402214024,-0.36900369003690037
2010-05-26,1.0033444816053512,-3.678929765886288,4.682274247491639,4.013377926421405,6.0200668896321075,0.0,-0.6688963210702341,0.0,3.3444816053511706,0.33444816053511706
2010-08-11,1.094890510948905,-1.4598540145985401,-4.014598540145985,-2.18978102189781,-3.6496350364963503,-4.744525547445256,-8.75912408759124,-6.934306569343065,-10.583941605839415,-9.489051094890511
2010-08-12,-1.4598540145985401,-4.014598540145985,-2.18978102189781,-3.6496350364963503,-4.744525547445256,-8.75912408759124,-6.934306569343065,-10.583941605839415,-9.489051094890511,-6.569343065693431
2010-08-13,-1.4981273408239701,0.37453183520599254,-1.1235955056179776,-2.247191011235955,-6.367041198501872,-4.49438202247191,-8.239700374531836,-7.116104868913857,-4.119850187265918,-0.7490636704119851
2010-12-14,-2.127659574468085,-5.319148936170213,-4.787234042553192,-8.24468085106383,-10.904255319148936,-9.042553191489361,-6.914893617021277,-3.1914893617021276,-5.053191489361702,1.8617021276595744
2011-01-28,4.316546762589928,2.158273381294964,2.6378896882494005,-0.23980815347721823,3.357314148681055,0.23980815347721823,0.7194244604316546,1.4388489208633093,-1.1990407673860912,-3.597122302158273
2011-01-31,-3.1818181818181817,-2.727272727272727,-5.454545454545454,-2.0454545454545454,-5.0,-4.545454545454546,-3.8636363636363638,-6.363636363636363,-8.636363636363637,-11.590909090909092
2011-02-01,0.234192037470726,-2.576112412177986,0.936768149882904,-2.107728337236534,-1.639344262295082,-0.936768149882904,-3.51288056206089,-5.85480093676815,-8.899297423887587,-6.791569086651054
2011-02-07,-3.255813953488372,0.23255813953488372,-2.7906976744186047,-2.3255813953488373,-1.627906976744186,-4.186046511627907,-6.511627906976744,-9.534883720930232,-7.441860465116279,-9.069767441860465
2011-03-11,1.17096018735363,6.323185011709602,5.152224824355972,14.285714285714286,13.348946135831381,15.690866510538642,14.754098360655737,14.754098360655737,16.627634660421545,16.627634660421545
2011-03-14,3.416856492027335,2.277904328018223,11.161731207289295,10.250569476082005,12.528473804100228,11.617312072892938,11.617312072892938,13.439635535307517,13.439635535307517,14.123006833712983
2011-03-15,-1.1013215859030836,7.488986784140969,6.607929515418502,8.810572687224669,7.929515418502203,7.929515418502203,9.691629955947137,9.691629955947137,10.352422907488986,5.506607929515418
2011-07-12,-1.7777777777777777,-4.666666666666667,-0.8888888888888888,-3.5555555555555554,-1.7777777777777777,2.4444444444444446,1.1111111111111112,4.444444444444445,8.0,2.2222222222222223
2011-07-13,-1.6055045871559632,2.293577981651376,-0.45871559633027525,1.3761467889908257,5.73394495412844,4.3577981651376145,7.798165137614679,11.46788990825688,5.504587155963303,-0.45871559633027525
2011-08-16,-3.883495145631068,-5.825242718446602,-6.067961165048544,-6.067961165048544,-9.70873786407767,-12.135922330097088,-8.980582524271844,-9.223300970873787,-13.592233009708737,-19.902912621359224
2011-10-04,5.722070844686648,5.722070844686648,5.994550408719346,4.9046321525885554,5.722070844686648,10.08174386920981,2.1798365122615806,4.087193460490464,13.079019073569482,13.896457765667575
2011-12-23,2.3255813953488373,-2.3255813953488373,-7.674418604651163,-9.767441860465116,-9.767441860465116,-10.232558139534884,-10.232558139534884,-10.930232558139535,-11.86046511627907,-11.162790697674419
2011-12-26,-4.545454545454546,-9.772727272727273,-11.818181818181818,-11.818181818181818,-12.272727272727273,-12.272727272727273,-12.954545454545455,-13.863636363636363,-13.181818181818182,-13.863636363636363
2012-09-13,-0.9646302250803859,0.6430868167202572,-5.144694533762058,-5.144694533762058,-6.752411575562701,-4.823151125401929,-3.215434083601286,-5.144694533762058,-3.8585209003215435,-5.144694533762058
2012-09-14,0.6430868167202572,-5.144694533762058,-5.144694533762058,-6.752411575562701,-4.823151125401929,-3.215434083601286,-5.144694533762058,-3.8585209003215435,-5.144694533762058,-8.038585209003216
2012-10-22,1.6260162601626016,4.471544715447155,3.252032520325203,7.317073170731708,13.414634146341463,12.195121951219512,14.634146341463415,13.821138211382113,16.666666666666668,19.51219512195122
2012-11-09,6.4393939393939394,7.575757575757576,6.818181818181818,7.954545454545454,9.469696969696969,6.818181818181818,4.166666666666667,4.545454545454546,4.166666666666667,1.5151515151515151
2012-11-12,-0.3508771929824561,-1.0526315789473684,0.0,1.4035087719298245,-1.0526315789473684,-3.508771929824561,-3.1578947368421053,-3.508771929824561,-5.964912280701754,-8.421052631578947
2012-11-13,-2.0833333333333335,-1.0416666666666667,0.3472222222222222,-2.0833333333333335,-4.513888888888889,-4.166666666666667,-4.513888888888889,-6.944444444444445,-9.375,-7.291666666666667
