매수일,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2010-01-13,-1.5337423312883436,-1.8404907975460123,-7.0552147239263805,-7.0552147239263805,-3.067484662576687,-5.828220858895706,-12.269938650306749,-10.736196319018404,-10.736196319018404,-9.50920245398773
2010-02-19,6.333333333333333,5.0,4.0,5.0,3.6666666666666665,2.0,-0.3333333333333333,1.3333333333333333,1.0,2.0
2010-02-22,-1.2539184952978057,-2.19435736677116,-1.2539184952978057,-2.5078369905956115,-4.075235109717869,-6.269592476489028,-4.702194357366771,-5.015673981191223,-4.075235109717869,-1.567398119122257
2010-02-23,0.3215434083601286,1.2861736334405145,0.0,-1.607717041800643,-3.8585209003215435,-2.2508038585209005,-2.572347266881029,-1.607717041800643,0.9646302250803859,2.2508038585209005
2016-07-04,-4.08997955010225,-1.4314928425357873,-6.748466257668712,-3.476482617586912,-4.08997955010225,-7.361963190184049,-10.633946830265849,16.155419222903884,10.429447852760736,8.588957055214724
2016-07-05,2.5531914893617023,-2.978723404255319,0.425531914893617,-0.2127659574468085,-3.617021276595745,-7.0212765957446805,20.851063829787233,14.893617021276595,12.97872340425532,46.808510638297875
2016-07-06,-4.602510460251046,-1.2552301255230125,-1.8828451882845187,-5.2301255230125525,-8.577405857740585,18.828451882845187,12.97071129707113,11.087866108786612,44.35146443514645,37.86610878661088
2016-07-07,3.508771929824561,2.8508771929824563,-0.6578947368421053,-4.166666666666667,24.56140350877193,18.42105263157895,16.44736842105263,51.31578947368421,44.51754385964912,75.43859649122807
2016-07-08,-1.263157894736842,-4.631578947368421,-8.0,19.57894736842105,13.68421052631579,11.789473684210526,45.26315789473684,38.73684210526316,68.42105263157895,68.42105263157895
2017-11-30,2.192982456140351,7.456140350877193,6.578947368421052,9.210526315789474,9.210526315789474,9.649122807017545,6.578947368421052,7.894736842105263,7.017543859649122,39.03508771929825
2018-07-11,-3.0100334448160537,-1.0033444816053512,-8.361204013377927,-8.02675585284281,-6.688963210702341,-7.023411371237458,-7.023411371237458,-9.698996655518394,-10.367892976588628,-8.361204013377927
2018-07-12,3.1358885017421603,-4.529616724738676,-4.181184668989547,-2.7874564459930316,-3.1358885017421603,-3.1358885017421603,-5.923344947735192,-6.620209059233449,-4.529616724738676,-6.2717770034843205
2018-07-13,-7.4324324324324325,-7.094594594594595,-5.743243243243243,-6.081081081081081,-6.081081081081081,-8.783783783783784,-9.45945945945946,-7.4324324324324325,-9.121621621621621,-8.783783783783784
2018-07-16,0.36496350364963503,1.8248175182481752,1.4598540145985401,1.4598540145985401,-1.4598540145985401,-2.18978102189781,0.0,-1.8248175182481752,-1.4598540145985401,-0.7299270072992701
2018-07-17,-2.4475524475524475,-2.797202797202797,-2.797202797202797,-5.594405594405594,-6.293706293706293,-4.195804195804196,-5.944055944055944,-5.594405594405594,-4.895104895104895,-7.3426573426573425
2018-07-18,-0.35842293906810035,-0.35842293906810035,-3.225806451612903,-3.942652329749104,-1.7921146953405018,-3.5842293906810037,-3.225806451612903,-2.5089605734767026,-5.017921146953405,-5.734767025089606
2018-07-19,0.0,-2.8776978417266186,-3.597122302158273,-1.4388489208633093,-3.237410071942446,-2.8776978417266186,-2.158273381294964,-4.676258992805756,-5.39568345323741,-5.755395683453237
2018-11-16,0.9411764705882353,-0.5882352941176471,-6.823529411764706,-7.0588235294117645,-9.411764705882353,-7.294117647058823,-5.294117647058823,-7.294117647058823,-10.235294117647058,-12.352941176470589
2018-11-19,-3.977272727272727,-10.0,-10.227272727272727,-12.5,-10.454545454545455,-8.522727272727273,-10.454545454545455,-13.295454545454545,-15.340909090909092,-16.363636363636363
2018-11-20,-5.714285714285714,-5.9523809523809526,-8.333333333333334,-6.190476190476191,-4.166666666666667,-6.190476190476191,-9.166666666666666,-11.30952380952381,-12.380952380952381,-12.380952380952381
2018-11-21,-1.0025062656641603,-3.508771929824561,-1.2531328320802004,0.8771929824561403,-1.2531328320802004,-4.385964912280702,-6.641604010025063,-7.769423558897243,-7.769423558897243,-7.268170426065163
2019-01-17,-1.4666666666666666,-4.4,-4.4,-6.4,-6.0,-4.666666666666667,-4.666666666666667,-4.133333333333334,-1.0666666666666667,-0.8
