매수일,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2015-11-26,2.73109243697479,3.991596638655462,2.73109243697479,1.995798319327731,-1.680672268907563,-1.7857142857142858,-4.30672268907563,-3.466386554621849,-0.31512605042016806,-0.31512605042016806
2015-11-27,2.0618556701030926,0.8247422680412371,0.10309278350515463,-3.5051546391752577,-3.6082474226804124,-6.082474226804123,-5.257731958762887,-2.1649484536082473,-2.1649484536082473,-0.5154639175257731
2015-11-30,-0.508646998982706,-1.2207527975584944,-4.781281790437436,-4.883011190233978,-7.3245167853509665,-6.510681586978637,-3.458799593082401,-3.458799593082401,-1.8311291963377416,-2.136317395727365
2016-10-10,0.0,0.4716981132075472,2.358490566037736,2.830188679245283,-1.4150943396226414,-1.8867924528301887,-3.7735849056603774,-1.4150943396226414,-0.9433962264150944,-1.4150943396226414
2016-10-19,2.450980392156863,2.9411764705882355,2.450980392156863,1.9607843137254901,-2.9411764705882355,0.0,0.0,-1.4705882352941178,-1.4705882352941178,-5.196078431372549
2016-10-20,0.0,-0.47619047619047616,-0.9523809523809523,-5.714285714285714,-2.857142857142857,-2.857142857142857,-4.285714285714286,-4.285714285714286,-7.904761904761905,-8.476190476190476
2016-10-21,-0.9478672985781991,-1.4218009478672986,-6.161137440758294,-3.3175355450236967,-3.3175355450236967,-4.739336492890995,-4.739336492890995,-8.341232227488153,-8.909952606635072,-9.85781990521327
2016-10-24,0.0,-4.8076923076923075,-1.9230769230769231,-1.9230769230769231,-3.3653846153846154,-3.3653846153846154,-7.019230769230769,-7.596153846153846,-8.557692307692308,-9.423076923076923
2016-10-25,-5.2631578947368425,-2.3923444976076556,-2.3923444976076556,-3.827751196172249,-3.827751196172249,-7.464114832535885,-8.038277511961722,-8.995215311004785,-9.85645933014354,-10.14354066985646
2016-11-18,0.7478632478632479,1.3888888888888888,1.3888888888888888,1.0683760683760684,0.7478632478632479,0.32051282051282054,0.7478632478632479,1.1752136752136753,3.5256410256410255,6.837606837606837
2017-01-10,-1.911764705882353,-0.8823529411764706,-1.4705882352941178,-2.9411764705882355,-1.4705882352941178,-3.235294117647059,-3.9705882352941178,-6.470588235294118,-5.588235294117647,-5.588235294117647
2017-01-11,0.8982035928143712,0.2994011976047904,-1.1976047904191616,0.2994011976047904,-1.4970059880239521,-2.245508982035928,-4.790419161676646,-3.8922155688622753,-3.8922155688622753,-4.940119760479042
2017-01-12,0.2994011976047904,-1.1976047904191616,0.2994011976047904,-1.4970059880239521,-2.245508982035928,-4.790419161676646,-3.8922155688622753,-3.8922155688622753,-4.940119760479042,-5.9880239520958085
2017-01-13,-2.2222222222222223,-0.7407407407407407,-2.5185185185185186,-3.259259259259259,-5.777777777777778,-4.888888888888889,-4.888888888888889,-5.925925925925926,-6.962962962962963,-6.37037037037037
2017-01-16,0.9036144578313253,-0.9036144578313253,-1.6566265060240963,-4.216867469879518,-3.3132530120481927,-3.3132530120481927,-4.367469879518072,-5.421686746987952,-4.819277108433735,-2.710843373493976
2017-01-17,-1.791044776119403,-2.537313432835821,-5.074626865671642,-4.17910447761194,-4.17910447761194,-5.223880597014926,-6.268656716417911,-5.6716417910447765,-3.582089552238806,-4.925373134328358
2017-01-18,-1.0606060606060606,-3.6363636363636362,-2.727272727272727,-2.727272727272727,-3.787878787878788,-4.848484848484849,-4.242424242424242,-2.121212121212121,-3.484848484848485,-3.3333333333333335
2017-01-19,-2.304147465437788,-1.3824884792626728,-1.3824884792626728,-2.457757296466974,-3.533026113671275,-2.9185867895545314,-0.7680491551459293,-2.150537634408602,-1.9969278033794162,-3.533026113671275
2017-03-07,-0.6349206349206349,-0.47619047619047616,1.5873015873015872,1.746031746031746,3.1746031746031744,2.5396825396825395,0.47619047619047616,3.9682539682539684,1.5873015873015872,1.1111111111111112
2017-03-08,0.0,2.073365231259968,2.2328548644338118,3.668261562998405,3.0303030303030303,0.9569377990430622,4.4657097288676235,2.073365231259968,1.594896331738437,4.30622009569378
2017-08-31,0.8368200836820083,0.8368200836820083,-0.8368200836820083,-3.0683403068340307,-3.0683403068340307,-7.112970711297071,-5.857740585774058,-9.344490934449093,-11.576011157601116,-13.528591352859136
2019-11-15,0.21321961620469082,1.7057569296375266,1.279317697228145,-0.6396588486140725,-3.7313432835820897,-3.9445628997867805,-0.8528784648187633,-1.279317697228145,-3.411513859275053,-1.9189765458422174
2019-11-18,1.4893617021276595,1.0638297872340425,-0.851063829787234,-3.9361702127659575,-4.148936170212766,-1.0638297872340425,-1.4893617021276595,-3.617021276595745,-2.127659574468085,-1.9148936170212767
2019-11-19,-0.4192872117400419,-2.3060796645702304,-5.345911949685535,-5.555555555555555,-2.5157232704402515,-2.9350104821802936,-5.031446540880503,-3.5639412997903563,-3.3542976939203353,-2.7253668763102725
2019-11-20,-1.3756613756613756,-4.444444444444445,-4.656084656084656,-1.5873015873015872,-2.0105820105820107,-4.126984126984127,-2.6455026455026456,-2.433862433862434,-1.7989417989417988,-2.962962962962963
2019-11-21,-3.111587982832618,-3.3261802575107295,-0.2145922746781116,-0.6437768240343348,-2.7896995708154506,-1.2875536480686696,-1.0729613733905579,-0.4291845493562232,-1.609442060085837,0.2145922746781116
