매수일,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2017-08-04,-1.1049723756906078,-2.320441988950276,-3.0939226519337018,-0.994475138121547,-2.6519337016574585,-0.994475138121547,-0.11049723756906077,-1.2154696132596685,-3.5359116022099446,-6.298342541436464
2017-08-07,-1.668520578420467,-2.447163515016685,-0.3337041156840934,-2.0022246941045605,-0.3337041156840934,0.5561735261401557,-0.5561735261401557,-2.8921023359288096,-5.672969966629588,-7.452725250278087
2017-08-08,-1.2387387387387387,0.9009009009009009,-0.7882882882882883,0.9009009009009009,1.8018018018018018,0.6756756756756757,-1.6891891891891893,-4.504504504504505,-6.306306306306307,-2.1396396396396398
2017-08-09,1.9340159271899886,0.22753128555176336,1.9340159271899886,2.844141069397042,1.7064846416382253,-0.6825938566552902,-3.5267349260523324,-5.346985210466439,-1.1376564277588168,-2.04778156996587
2017-11-23,-3.5131744040150563,-4.1405269761606025,-6.398996235884567,1.2547051442910917,0.6273525721455459,1.5056461731493098,-1.5056461731493098,-6.273525721455458,-7.52823086574655,-10.915934755332497
2017-11-24,-0.39113428943937417,-2.7379400260756195,5.215123859191656,4.563233376792699,5.475880052151239,2.346805736636245,-2.607561929595828,-3.911342894393742,-7.431551499348109,-8.604954367666233
2017-11-27,-1.971090670170828,6.044678055190539,5.387647831800263,6.307490144546649,3.1537450722733245,-1.8396846254927726,-3.1537450722733245,-6.701708278580814,-7.884362680683312,-7.35873850197109
2017-11-28,8.032128514056225,7.362784471218206,8.299866131191433,5.087014725568943,0.0,-1.3386880856760375,-4.953145917001339,-6.157965194109773,-5.622489959839357,-7.764390896921017
2017-11-29,-1.3530135301353015,-0.4920049200492005,-3.4440344403444034,-8.118081180811808,-9.348093480934809,-12.669126691266912,-13.776137761377614,-13.284132841328413,-15.252152521525215,-14.391143911439114
2017-11-30,-0.2466091245376079,-3.2059186189889024,-7.891491985203452,-9.124537607891492,-12.453760789149198,-13.563501849568434,-13.070283600493218,-15.04315659679408,-14.180024660912453,-12.083847102342787
2018-08-08,-2.6359143327841843,-7.742998352553542,-8.401976935749587,-8.896210873146623,-10.543657331136737,-11.532125205930807,-9.884678747940692,-7.248764415156508,-8.566721581548599,-7.0840197693574956
2018-10-18,6.802721088435374,7.936507936507937,6.122448979591836,4.195011337868481,8.16326530612245,9.297052154195011,5.442176870748299,2.494331065759637,6.6893424036281175,10.090702947845806
2018-10-19,1.0615711252653928,-0.6369426751592356,-2.4416135881104033,1.2738853503184713,2.335456475583864,-1.2738853503184713,-4.033970276008493,-0.10615711252653928,3.0785562632696393,4.352441613588111
2018-10-22,-1.680672268907563,-3.466386554621849,0.21008403361344538,1.2605042016806722,-2.310924369747899,-5.042016806722689,-1.1554621848739495,1.995798319327731,3.2563025210084033,5.882352941176471
2018-10-23,-2.4416135881104033,1.2738853503184713,2.335456475583864,-1.2738853503184713,-4.033970276008493,-0.10615711252653928,3.0785562632696393,4.352441613588111,7.006369426751593,7.855626326963907
2018-10-24,3.808487486398259,4.896626768226333,1.1969532100108813,-1.632208922742111,2.3939064200217626,5.658324265505985,6.9640914036996735,9.684439608269859,10.554951033732317,12.078346028291621
2018-10-25,1.3669821240799158,-2.2082018927444795,-4.942166140904312,-1.0515247108307044,2.103049421661409,3.3648790746582544,5.993690851735016,6.8349106203995795,8.307045215562566,5.993690851735016
2018-10-26,-3.0239833159541187,-5.735140771637122,-1.8769551616266944,1.251303441084463,2.502606882168926,5.109489051094891,5.9436913451511995,7.40354535974974,5.109489051094891,2.6068821689259645
2018-10-29,-1.7391304347826086,2.282608695652174,5.543478260869565,6.8478260869565215,9.565217391304348,10.434782608695652,11.956521739130435,9.565217391304348,6.956521739130435,8.478260869565217
2018-10-30,4.092920353982301,7.411504424778761,8.738938053097344,11.504424778761061,12.389380530973451,13.938053097345133,11.504424778761061,8.849557522123893,10.398230088495575,10.398230088495575
2018-10-31,1.3569937369519833,2.6096033402922756,5.219206680584551,6.054279749478079,7.515657620041754,5.219206680584551,2.7139874739039667,4.175365344467641,4.175365344467641,3.1315240083507305
2018-11-01,0.6141248720573184,3.172978505629478,3.991811668372569,5.424769703172979,3.172978505629478,0.7164790174002047,2.1494370522006143,2.1494370522006143,1.1258955987717503,1.2282497441146367
2018-11-02,2.6476578411405294,3.4623217922606924,4.887983706720978,2.6476578411405294,0.20366598778004075,1.629327902240326,1.629327902240326,0.6109979633401222,0.7128309572301426,1.3238289205702647
2018-11-05,1.7017017017017018,3.103103103103103,0.9009009009009009,-1.5015015015015014,-0.1001001001001001,-0.1001001001001001,-1.1011011011011012,-1.001001001001001,-0.4004004004004004,-0.3003003003003003
2018-11-06,1.3779527559055118,-0.7874015748031497,-3.1496062992125986,-1.7716535433070866,-1.7716535433070866,-2.7559055118110236,-2.65748031496063,-2.0669291338582676,-1.968503937007874,-1.8700787401574803
2018-11-07,-1.1764705882352942,-3.5294117647058822,-2.156862745098039,-2.156862745098039,-3.1372549019607843,-3.0392156862745097,-2.450980392156863,-2.3529411764705883,-2.2549019607843137,-3.823529411764706
2018-12-05,-1.4223194748358863,-3.063457330415755,-5.142231947483588,-8.315098468271335,-6.892778993435448,-5.361050328227571,-5.908096280087527,-4.595185995623632,-6.564551422319475,-5.25164113785558
2019-05-03,-0.683371298405467,0.11389521640091116,-0.45558086560364464,-2.5056947608200457,-3.9863325740318905,-3.8724373576309796,-5.922551252847381,-6.605922551252847,-6.0364464692482915,-6.150341685649202
