종목명,종목코드,항목,6일째 수익률,7일째 수익률,8일째 수익률,9일째 수익률,10일째 수익률,11일째 수익률,12일째 수익률,13일째 수익률,14일째 수익률,15일째 수익률
035620,바른손이앤에이,MAX,1.8421052631578947,2.8947368421052633,2.3684210526315788,0.5263157894736842,-0.5263157894736842,-3.5714285714285716,-4.473684210526316,-7.197943444730077,-5.655526992287918,-5.3984575835475574
035620,바른손이앤에이,MIN,-2.806122448979592,-2.827763496143959,-6.683804627249358,-7.3979591836734695,-10.796915167095115,-13.110539845758355,-13.775510204081632,-13.520408163265307,-11.71875,-13.775510204081632
035620,바른손이앤에이,Mean,-0.34117850055730586,-0.4914947865900521,-1.732549504039202,-3.176650828779624,-5.348192109681106,-7.620798892889587,-9.627208140393217,-9.755937596930263,-9.56293273465522,-8.466115165116241
035620,바른손이앤에이,Median,-0.7653061224489796,-1.2755102040816326,-0.5208333333333334,-1.5625,-5.46875,-5.46875,-9.635416666666666,-8.68421052631579,-11.052631578947368,-6.377551020408164
035620,바른손이앤에이,Probability,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
