매수일,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
2015-06-08,-3.97196261682243,-3.97196261682243,-2.803738317757009,-5.607476635514018,-9.813084112149532,1.4018691588785046,6.542056074766355,3.97196261682243,5.140186915887851,-1.8691588785046729
2016-03-11,-1.7543859649122806,0.8771929824561403,0.5847953216374269,0.29239766081871343,-1.1695906432748537,-1.4619883040935673,-4.385964912280702,-5.2631578947368425,-6.7251461988304095,-6.140350877192983
2016-03-14,2.373887240356083,2.077151335311573,1.7804154302670623,0.29673590504451036,0.0,-2.9673590504451037,-3.857566765578635,-5.341246290801187,-4.747774480712166,-6.231454005934718
2016-03-15,-0.2898550724637681,-0.5797101449275363,-2.028985507246377,-2.318840579710145,-5.217391304347826,-6.086956521739131,-7.536231884057971,-6.956521739130435,-8.405797101449275,-7.826086956521739
2016-03-16,-1.1527377521613833,-2.5936599423631126,-2.881844380403458,-5.763688760806916,-6.628242074927954,-8.069164265129682,-7.492795389048991,-8.93371757925072,-8.357348703170029,-8.069164265129682
2018-01-11,4.871794871794871,5.0,3.3333333333333335,1.2820512820512822,2.948717948717949,2.6923076923076925,-0.2564102564102564,-3.3333333333333335,-5.0,-5.512820512820513
2018-01-12,0.49079754601226994,-1.1042944785276074,-3.067484662576687,-1.4723926380368098,-1.7177914110429449,-4.539877300613497,-7.484662576687117,-9.079754601226995,-9.570552147239264,-12.14723926380368
2018-01-15,-1.5873015873015872,-3.5409035409035408,-1.9536019536019535,-2.197802197802198,-5.006105006105006,-7.936507936507937,-9.523809523809524,-10.012210012210012,-12.576312576312576,-11.11111111111111
2018-01-16,-0.8782936010037641,0.7528230865746549,0.5018820577164367,-2.383939774153074,-5.395232120451694,-7.026348808030113,-7.52823086574655,-10.163111668757843,-8.657465495608532,-7.151819322459222
2018-01-17,1.6455696202531647,1.3924050632911393,-1.518987341772152,-4.556962025316456,-6.2025316455696204,-6.708860759493671,-9.367088607594937,-7.848101265822785,-6.329113924050633,-6.329113924050633
2018-01-18,-1.838235294117647,-4.6568627450980395,-7.598039215686274,-9.191176470588236,-9.681372549019608,-12.254901960784315,-10.784313725490197,-9.313725490196079,-9.313725490196079,-9.191176470588236
2018-01-19,0.3870967741935484,-2.7096774193548385,-4.387096774193548,-4.903225806451613,-7.612903225806452,-6.064516129032258,-4.516129032258065,-4.516129032258065,-4.387096774193548,-3.7419354838709675
2018-02-09,-3.125,-2.0833333333333335,-2.8645833333333335,-2.34375,-4.427083333333333,-4.427083333333333,-1.953125,2.8645833333333335,4.817708333333333,5.989583333333333
2018-10-01,-2.255639097744361,-1.7543859649122806,-1.7543859649122806,-5.137844611528822,-13.784461152882205,-14.285714285714286,-17.919799498746865,-24.81203007518797,-20.80200501253133,-19.29824561403509
2018-10-02,0.6418485237483954,0.6418485237483954,-2.8241335044929397,-11.681643132220795,-12.195121951219512,-15.917843388960206,-22.978177150192554,-18.870346598202826,-17.329910141206675,-15.14762516046213
2018-10-04,0.2557544757033248,-3.1969309462915603,-12.020460358056265,-12.531969309462916,-16.240409207161125,-23.273657289002557,-19.18158567774936,-17.647058823529413,-15.473145780051151,-12.148337595907929
